Position ID,Bin ID,Price,Position Liquidity,Position X Amount,Position Y Amount,Liquidity Share (%)
DR2x2oU1vTiRmPJnoEQSK8dZdfoavGLejrf5PND7GHfi,14,1.3194787630628721492,0,0,0,0.00%
DR2x2oU1vTiRmPJnoEQSK8dZdfoavGLejrf5PND7GHfi,15,1.3458683383241295921,0,0,0,0.00%
DR2x2oU1vTiRmPJnoEQSK8dZdfoavGLejrf5PND7GHfi,16,1.372785705090612184,0,0,0,0.00%
DR2x2oU1vTiRmPJnoEQSK8dZdfoavGLejrf5PND7GHfi,17,1.4002414191924244277,0,0,0,0.00%
DR2x2oU1vTiRmPJnoEQSK8dZdfoavGLejrf5PND7GHfi,18,1.4282462475762729162,0,0,0,0.00%
DR2x2oU1vTiRmPJnoEQSK8dZdfoavGLejrf5PND7GHfi,19,1.4568111725277983745,0,0,0,0.00%
DR2x2oU1vTiRmPJnoEQSK8dZdfoavGLejrf5PND7GHfi,20,1.485947395978354342,0,0,0,0.00%
DR2x2oU1vTiRmPJnoEQSK8dZdfoavGLejrf5PND7GHfi,21,1.5156663438979214289,0,0,0,0.00%
DR2x2oU1vTiRmPJnoEQSK8dZdfoavGLejrf5PND7GHfi,22,1.5459796707758798575,0,0,0,0.00%
DR2x2oU1vTiRmPJnoEQSK8dZdfoavGLejrf5PND7GHfi,23,1.5768992641913974546,0,0,0,0.00%
DR2x2oU1vTiRmPJnoEQSK8dZdfoavGLejrf5PND7GHfi,24,1.6084372494752254037,0,0,0,0.00%
DR2x2oU1vTiRmPJnoEQSK8dZdfoavGLejrf5PND7GHfi,25,1.6406059944647299118,0,0,0,0.00%
DR2x2oU1vTiRmPJnoEQSK8dZdfoavGLejrf5PND7GHfi,26,1.67341811435402451,0,0,0,0.00%
DR2x2oU1vTiRmPJnoEQSK8dZdfoavGLejrf5PND7GHfi,27,1.7068864766411050002,0,0,0,0.00%
DR2x2oU1vTiRmPJnoEQSK8dZdfoavGLejrf5PND7GHfi,28,1.7410242061739271002,0,0,0,0.00%
DR2x2oU1vTiRmPJnoEQSK8dZdfoavGLejrf5PND7GHfi,29,1.7758446902974056422,0,0,0,0.00%
DR2x2oU1vTiRmPJnoEQSK8dZdfoavGLejrf5PND7GHfi,30,1.8113615841033537551,0,0,0,0.00%
DR2x2oU1vTiRmPJnoEQSK8dZdfoavGLejrf5PND7GHfi,31,1.8475888157854208302,0,0,0,0.00%
GGNVcBeeNPpdzjSm1ALmnU8qKxSXuD3fVexYcgzZjCgr,-213,0.12010121039448411685,1.775200223279447720202809202e+27,0,96.23647702804514,6.10%
GGNVcBeeNPpdzjSm1ALmnU8qKxSXuD3fVexYcgzZjCgr,-212,0.12130222249842895802,1.835096746991144582855611391e+27,0,99.48079409380523,6.41%
GGNVcBeeNPpdzjSm1ALmnU8qKxSXuD3fVexYcgzZjCgr,-211,0.1225152447234132476,1.894989247911364732232428722e+27,0,102.72757321947785,6.62%
GGNVcBeeNPpdzjSm1ALmnU8qKxSXuD3fVexYcgzZjCgr,-210,0.12374039717064738008,1.954881730098052721516188909e+27,0,105.9743513475765,6.83%
GGNVcBeeNPpdzjSm1ALmnU8qKxSXuD3fVexYcgzZjCgr,-209,0.12497780114235385388,2.014747091654946337318509177e+27,0,109.22737852677244,7.03%
GGNVcBeeNPpdzjSm1ALmnU8qKxSXuD3fVexYcgzZjCgr,-208,0.12622757915377739242,2.074666729640079285576070053e+27,0,112.46790983471023,7.32%
GGNVcBeeNPpdzjSm1ALmnU8qKxSXuD3fVexYcgzZjCgr,-207,0.12748985494531516634,2.134559215125095609639109564e+27,0,115.71468729805848,7.56%
GGNVcBeeNPpdzjSm1ALmnU8qKxSXuD3fVexYcgzZjCgr,-206,0.12876475349476831801,2.194451735209574780004306922e+27,0,118.96146724972537,7.77%
GGNVcBeeNPpdzjSm1ALmnU8qKxSXuD3fVexYcgzZjCgr,-205,0.13005240102971600119,2.254340543861468200498060697e+27,0,122.20892261265283,7.98%
GGNVcBeeNPpdzjSm1ALmnU8qKxSXuD3fVexYcgzZjCgr,-204,0.1313529250400131612,2.314199996929998189731669767e+27,0,125.45980746665086,8.21%
GGNVcBeeNPpdzjSm1ALmnU8qKxSXuD3fVexYcgzZjCgr,-203,0.13266645429041329281,2.372760277899824110992437348e+27,0,128.73131056672196,6.67%
GGNVcBeeNPpdzjSm1ALmnU8qKxSXuD3fVexYcgzZjCgr,-202,0.13399311883331742574,2.378460982787096888603115065e+27,0,128.94852207466664,6.73%
GGNVcBeeNPpdzjSm1ALmnU8qKxSXuD3fVexYcgzZjCgr,-201,0.1353330500216506,1.827533448360454606312974597e+27,0,99.07300641701828,5.28%
GGNVcBeeNPpdzjSm1ALmnU8qKxSXuD3fVexYcgzZjCgr,-200,0.136686380521867106,1.823364454694916816802557846e+27,0,98.8479316872218,4.46%
GGNVcBeeNPpdzjSm1ALmnU8qKxSXuD3fVexYcgzZjCgr,-199,0.13805324432708577706,1.795364190048701564848089488e+27,0,97.32805864474071,4.40%
GGNVcBeeNPpdzjSm1ALmnU8qKxSXuD3fVexYcgzZjCgr,-198,0.13943377677035663483,1.791207184053136815463299505e+27,0,97.17370772943855,4.37%
